Subtype_to_16S_copy_number	A1	A2	A3	A4	A5	A6
beta-lactam__OXA-330	0	0	0	0	0	0
beta-lactam__OXA-331	0	0	0	0	0	0
beta-lactam__OXA-332	0	0	0	0	0	0
beta-lactam__OXA-333	0	0	0	0	0	0
beta-lactam__OXA-334	0	0	0	0	0	0
beta-lactam__OXA-335	0	0	0	0	0	0
beta-lactam__OXA-34	0	0	0	0	0	0.00108749898331194
beta-lactam__OXA-348	0	0	0	0	0	0
beta-lactam__OXA-349	0	0	0	0	0	0
beta-lactam__OXA-35	0	0	0	0	0	0
beta-lactam__OXA-350	0	0	0	0	0	0
beta-lactam__OXA-351	0	0	0	0	0	0
beta-lactam__OXA-352	0	0	0	0	0	0
beta-lactam__OXA-353	0	0	0	0	0	0
beta-lactam__OXA-354	0	0	0	0	0	0
beta-lactam__OXA-355	0	0	0	0	0	0
beta-lactam__OXA-356	0	0	0	0	0	0
beta-lactam__OXA-357	0	0	0	0	0	0
beta-lactam__OXA-358	0	0	0	0	0	0
beta-lactam__OXA-359	0	0	0	0	0	0
beta-lactam__OXA-36	0	0.000275465559879903	0	0	0	0
beta-lactam__OXA-360	0	0	0	0	0	0
beta-lactam__OXA-361	0	0	0	0	0	0
beta-lactam__OXA-365	0	0	0	0	0	0
beta-lactam__OXA-37	0	0	0	0	0	0
beta-lactam__OXA-370	0	0	0	0	0	0
beta-lactam__OXA-374	0	0	0	0	0	0
beta-lactam__OXA-375	0	0	0	0	0	0
beta-lactam__OXA-376	0	0	0	0	0	0
beta-lactam__OXA-377	0	0	0	0	0	0
beta-lactam__OXA-378	0	0	0	0	0	0
beta-lactam__OXA-379	0	0	0	0	0	0
beta-lactam__OXA-380	0	0	0	0	0	0
beta-lactam__OXA-381	0	0	0	0	0	0
beta-lactam__OXA-382	0	0	0	0	0	0
beta-lactam__OXA-383	0	0	0	0	0	0
beta-lactam__OXA-384	0	0	0	0	0	0
beta-lactam__OXA-385	0	0	0	0	0	0
beta-lactam__OXA-386	0	0	0	0	0	0
beta-lactam__OXA-387	0	0	0	0	0	0
beta-lactam__OXA-388	0	0	0	0	0	0
beta-lactam__OXA-390	0	0	0	0	0	0
beta-lactam__OXA-391	0	0	0	0	0	0
beta-lactam__OXA-4	0	0	0	0	0	0
beta-lactam__OXA-42	0	0	0	0	0	0
beta-lactam__OXA-43	0	0	0	0	0	0
beta-lactam__OXA-46	0	0	0	0	0	0
beta-lactam__OXA-47	0	0	0	0	0	0
beta-lactam__OXA-48	0	0	0	0	0	0
beta-lactam__OXA-49	0	0	0	0	0	0
beta-lactam__OXA-5	0	0	0	0	0	0
beta-lactam__OXA-50	0	0	0	0	0	0
beta-lactam__OXA-51	0	0	0	0	0	0
beta-lactam__OXA-53	0	0	0	0	0	0
beta-lactam__OXA-54	0	0	0	0	0	0
beta-lactam__OXA-55	0	0	0	0	0	0
beta-lactam__OXA-56	0	0	0	0	0	0
beta-lactam__OXA-57	0	0	0	0	0	0
beta-lactam__OXA-58	0	0	0	0	0	0
beta-lactam__OXA-59	0	0	0	0	0	0
beta-lactam__OXA-60	0	0	0	0	0	0
beta-lactam__OXA-61	0	0	0	0	0	0
beta-lactam__OXA-62	0	0	0	0	0	0
beta-lactam__OXA-63	0	0	0	0	0	0
beta-lactam__OXA-64	0	0	0	0	0	0
beta-lactam__OXA-65	0	0	0	0	0	0
beta-lactam__OXA-66	0	0	0	0	0	0
beta-lactam__OXA-67	0	0	0	0	0	0
beta-lactam__OXA-68	0	0	0	0	0	0
beta-lactam__OXA-69	0	0	0	0	0	0
beta-lactam__OXA-7	0	0	0	0	0	0
beta-lactam__OXA-70	0	0	0	0	0	0
beta-lactam__OXA-71	0	0	0	0	0	0
beta-lactam__OXA-72	0	0	0	0	0	0
beta-lactam__OXA-73	0	0	0	0	0	0
beta-lactam__OXA-74	0	0	0	0	0	0
beta-lactam__OXA-75	0	0	0	0	0	0
beta-lactam__OXA-76	0	0	0	0	0	0
beta-lactam__OXA-77	0	0	0	0	0	0
beta-lactam__OXA-78	0	0	0	0	0	0
beta-lactam__OXA-79	0	0	0	0	0	0
beta-lactam__OXA-80	0	0	0	0	0	0
beta-lactam__OXA-82	0	0	0	0	0	0
beta-lactam__OXA-83	0	0	0	0	0	0
beta-lactam__OXA-84	0	0	0	0	0	0
beta-lactam__OXA-85	0	0	0	0	0	0
beta-lactam__OXA-86	0	0	0	0	0	0
beta-lactam__OXA-87	0	0	0	0	0	0
beta-lactam__OXA-88	0	0	0	0	0	0
beta-lactam__OXA-89	0	0	0	0	0	0
beta-lactam__OXA-9	0	0	0	0	0	0
beta-lactam__OXA-90	0	0	0	0	0	0
beta-lactam__OXA-91	0	0	0	0	0	0
beta-lactam__OXA-92	0	0	0	0	0	0
beta-lactam__OXA-93	0	0	0	0	0	0
beta-lactam__OXA-94	0	0	0	0	0	0
beta-lactam__OXA-95	0	0	0	0	0	0
beta-lactam__OXA-96	0	0	0	0	0	0
beta-lactam__OXA-97	0	0	0	0	0	0
beta-lactam__OXA-98	0	0	0	0	0	0
beta-lactam__OXA-99	0	0	0	0	0	0
beta-lactam__OXY-1	0	0	0	0	0	0
beta-lactam__OXY-2	0	0	0	0	0	0
beta-lactam__OXY-3	0	0	0	0	0	0
beta-lactam__OXY-4	0	0	0	0	0	0
beta-lactam__OXY-5	0	0	0	0	0	0
beta-lactam__PBP-1A	0	0	0	0	3.38570777369854e-05	0
beta-lactam__PBP-1B	0	0	0	0	0	0
beta-lactam__PBP-2X	0	0	0	0	0	0
beta-lactam__PDC-1	0	0	0	0	0	0
beta-lactam__PDC-10	0	0	0	0	0	0
beta-lactam__PDC-2	0	0	0	0	0	0
beta-lactam__PDC-3	0	0	0	0	0	0
beta-lactam__PDC-4	0	0	0	0	0	0
beta-lactam__PDC-5	0	0	0	0	0	0
beta-lactam__PDC-6	0	0	0	0	0	0
beta-lactam__PDC-7	0	0	0	0	0	0
beta-lactam__PDC-8	0	0	0	0	0	0
beta-lactam__PDC-9	0	0	0	0	0	0
beta-lactam__PER-1	0	0	0	0	0	0
beta-lactam__PER-2	0	0	0	0	0	0
beta-lactam__PER-3	0	0	0	0	0	0
beta-lactam__PER-4	0	0	0	0	0	0
beta-lactam__PER-5	0	0	0	0	0	0
beta-lactam__PER-6	0	0	0	0	0	0
beta-lactam__PER-7	0	0	0	0	0	0
beta-lactam__PSE-1	0	0	0	0	0	0
beta-lactam__PSE-4	0	0	0	0	0	0
beta-lactam__ROB-1	0	0	0	0	0	0
beta-lactam__RTG-4	0	0	0	0	0	0
beta-lactam__RTG-5	0	0	0	0	0	0
beta-lactam__SHV	0	0	0	0	0	0
beta-lactam__SHV-1	0	0	0	0	0	0
beta-lactam__SHV-100	0	0	0	0	0	0
beta-lactam__SHV-101	0	0	0	0	0	0
beta-lactam__SHV-102	0	0	0	0	0	0
beta-lactam__SHV-105	0	0	0	0	0	0
beta-lactam__SHV-109	0	0	0	0	0	0
beta-lactam__SHV-112	0	0	0	0	0	0
beta-lactam__SHV-12	0	0	0	0	0	0
beta-lactam__SHV-120	0	0	0	0	0	0
beta-lactam__SHV-121	0	0	0	0	0	0
beta-lactam__SHV-128	0	0	0	0	0	0
beta-lactam__SHV-13	0	0	0	0	0	0
beta-lactam__SHV-133	0	0	0	0	0	0
beta-lactam__SHV-134	0	0	0	0	0	0
beta-lactam__SHV-135	0	0	0	0	0	0
beta-lactam__SHV-137	0	0	0	0	0	0
beta-lactam__SHV-14	0	0	0	0	0	0
beta-lactam__SHV-140	0	0	0	0	0	0
beta-lactam__SHV-141	0	0	0	0	0	0
beta-lactam__SHV-142	0	0	0	0	0	0
beta-lactam__SHV-143	0	0	0	0	0	0
beta-lactam__SHV-145	0	0	0	0	0	0
beta-lactam__SHV-147	0	0	0	0	0	0
beta-lactam__SHV-148	0	0	0	0	0	0
beta-lactam__SHV-149	0	0	0	0	0	0
beta-lactam__SHV-150	0	0	0	0	0	0
beta-lactam__SHV-151	0	0	0	0	0	0
beta-lactam__SHV-152	0	0	0	0	0	0
beta-lactam__SHV-153	0	0	0	0	0	0
beta-lactam__SHV-154	0	0	0	0	0	0
beta-lactam__SHV-155	0	0	0	0	0	0
beta-lactam__SHV-157	0	0	0	0	0	0
beta-lactam__SHV-158	0	0	0	0	0	0
beta-lactam__SHV-159	0	0	0	0	0	0
beta-lactam__SHV-160	0	0	0	0	0	0
beta-lactam__SHV-161	0	0	0	0	0	0
beta-lactam__SHV-162	0	0	0	0	0	0
beta-lactam__SHV-164	0	0	0	0	0	0
beta-lactam__SHV-165	0	0	0	0	0	0
beta-lactam__SHV-167	0	0	0	0	0	0
beta-lactam__SHV-168	0	0	0	0	0	0
beta-lactam__SHV-172	0	0	0	0	0	0
beta-lactam__SHV-173	0	0	0	0	0	0
beta-lactam__SHV-178	0	0	0	0	0	0
beta-lactam__SHV-179	0	0	0	0	0	0
beta-lactam__SHV-2	0	0	0	0	0	0
beta-lactam__SHV-24	0	0	0	0	0	0
beta-lactam__SHV-27	0	0	0	0	0	0
beta-lactam__SHV-28	0	0	0	0	0	0
beta-lactam__SHV-29	0	0	0	0	0	0
beta-lactam__SHV-3	0	0	0	0	0	0
beta-lactam__SHV-34	0	0	0	0	0	0
beta-lactam__SHV-35	0	0	0	0	0	0
beta-lactam__SHV-36	0	0	0	0	0	0
beta-lactam__SHV-37	0	0	0	0	0	0
beta-lactam__SHV-38	0	0	0	0	0	0
beta-lactam__SHV-39	0	0	0	0	0	0
beta-lactam__SHV-4	0	0	0	0	0	0
beta-lactam__SHV-40	0	0	0	0	0	0
beta-lactam__SHV-41	0	0	0	0	0	0
beta-lactam__SHV-42	0	0	0	0	0	0
beta-lactam__SHV-44	0	0	0	0	0	0
beta-lactam__SHV-46	0	0	0	0	0	0
beta-lactam__SHV-48	0	0	0	0	0	0
beta-lactam__SHV-5	0	0	0	0	0	0
beta-lactam__SHV-50	0	0	0	0	0	0
beta-lactam__SHV-51	0	0	0	0	0	0
beta-lactam__SHV-52	0	0	0	0	0	0
beta-lactam__SHV-53	0	0	0	0	0	0
beta-lactam__SHV-55	0	0	0	0	0	0
beta-lactam__SHV-56	0	0	0	0	0	0
beta-lactam__SHV-59	0	0	0	0	0	0
beta-lactam__SHV-6	0	0	0	0	0	0
beta-lactam__SHV-60	0	0	0	0	0	0
beta-lactam__SHV-61	0	0	0	0	0	0
beta-lactam__SHV-62	0	0	0	0	0	0
beta-lactam__SHV-63	0	0	0	0	0	0
beta-lactam__SHV-64	0	0	0	0	0	0
beta-lactam__SHV-65	0	0	0	0	0	0
beta-lactam__SHV-66	0	0	0	0	0	0
beta-lactam__SHV-67	0	0	0	0	0	0
beta-lactam__SHV-69	0	0	0	0	0	0
beta-lactam__SHV-70	0	0	0	0	0	0
beta-lactam__SHV-71	0	0	0	0	0	0
beta-lactam__SHV-77	0	0	0	0	0	0
beta-lactam__SHV-8	0	0	0	0	0	0
beta-lactam__SHV-85	0	0	0	0	0	0
beta-lactam__SHV-86	0	0	0	0	0	0
beta-lactam__SHV-93	0	0	0	0	0	0
beta-lactam__SHV-94	0	0	0	0	0	0
beta-lactam__SHV-95	0	0	0	0	0	0
beta-lactam__SHV-96	0	0	0	0	0	0
beta-lactam__SHV-97	0	0	0	0	0	0
beta-lactam__SIM-1	0	0	0	0	0	0
beta-lactam__SMB-1	0	0	0	0	0	0
beta-lactam__SME-1	0	0	0	0	0	0
beta-lactam__SME-2	0	0	0	0	0	0
beta-lactam__SME-3	0	0	0	0	0	0
beta-lactam__SME-4	0	0	0	0	0	0
beta-lactam__SME-5	0	0	0	0	0	0
beta-lactam__SRT-1	0	0	0	0	0	0
beta-lactam__SRT-2	0	0	0	0	0	0
beta-lactam__TEM-1	0	0	0	0	0	0
beta-lactam__TEM-10	0	0	0	0	0	0
beta-lactam__TEM-101	0	0	0	0	0	0
beta-lactam__TEM-102	0	0	0	0	0	0
beta-lactam__TEM-104	0	0	0	0	0	0
beta-lactam__TEM-105	0	0	0	0	0	0
beta-lactam__TEM-106	0	0	0	0	0	0
beta-lactam__TEM-107	0	0	0	0	0	0
beta-lactam__TEM-108	0	0	0	0	0	0
beta-lactam__TEM-109	0	0	0	0	0	0
beta-lactam__TEM-11	0	0	0	0	0	0
beta-lactam__TEM-110	0	0	0	0	0	0
beta-lactam__TEM-111	0	0	0	0	0	0
beta-lactam__TEM-112	0	0	0	0	0	0
beta-lactam__TEM-113	0	0	0	0	0	0
beta-lactam__TEM-114	0	0	0	0	0	0
beta-lactam__TEM-115	0	0	0	0	0	0
beta-lactam__TEM-117	0	0	0.000142302564520649	0	0	0
beta-lactam__TEM-118	0	0	0	0	0	0
beta-lactam__TEM-120	0	0	0	0	0	0
beta-lactam__TEM-121	0	0	0	0	0	0
beta-lactam__TEM-123	0	0	0	0	0	0
beta-lactam__TEM-124	0	0	0	0	0	0
beta-lactam__TEM-125	0	0	0	0	0	0
beta-lactam__TEM-126	0	0	0	0	0	0
beta-lactam__TEM-127	0	0	0	0	0	0
beta-lactam__TEM-128	0	0	0	0	0	0
beta-lactam__TEM-129	0	0	0	0	0	0
beta-lactam__TEM-130	0	0	0	0	0	0
beta-lactam__TEM-131	0	0	0	0	0	0
beta-lactam__TEM-132	0	0	0	0	0	0
beta-lactam__TEM-133	0	0	0	0	0	0
beta-lactam__TEM-134	0	0	0	0	0	0
beta-lactam__TEM-135	0	0	0	0	0	0
beta-lactam__TEM-136	0	0	0	0	0	0
beta-lactam__TEM-137	0	0	0	0	0	0
beta-lactam__TEM-138	0	0	0	0	0	0
beta-lactam__TEM-139	0	0	0	0	0	0
beta-lactam__TEM-141	0	0	0	0	0	0
beta-lactam__TEM-142	0	0	0	0	0	0
beta-lactam__TEM-143	0	0	0	0	0	0
beta-lactam__TEM-144	0	0	0	0	0	0
beta-lactam__TEM-145	0	0	0	0	0	0
beta-lactam__TEM-146	0	0	0	0	0	0
beta-lactam__TEM-147	0	0	0	0	0	0
beta-lactam__TEM-148	0	0	0	0	0	0
beta-lactam__TEM-149	0	0	0	0	0	0
beta-lactam__TEM-15	0	0	0	0	0	0
beta-lactam__TEM-151	0	0	0	0	0	0
beta-lactam__TEM-152	0	0	0	0	0	0
beta-lactam__TEM-153	0	0	0	0	0	0
beta-lactam__TEM-154	0	0	0	0	0	0
beta-lactam__TEM-155	0	0	0	0	0	0
beta-lactam__TEM-156	0	0	0	0	0	0
beta-lactam__TEM-157	0	0	0	0	0	0
beta-lactam__TEM-158	0	0	0	0	0	0
beta-lactam__TEM-159	0	0	0	0	0	0
beta-lactam__TEM-160	0	0	0	0	0	0
beta-lactam__TEM-162	0	0	0	0	0	0
beta-lactam__TEM-163	0	0	0	0	0	0
beta-lactam__TEM-166	0	0	0	0	0	0
beta-lactam__TEM-167	0	0	0	0	0	0
beta-lactam__TEM-168	0	0	0	0	0	0
beta-lactam__TEM-169	0	0	0	0	0	0
beta-lactam__TEM-17	0	0	0	0	0	0
beta-lactam__TEM-171	0	0	0	0	0	0
beta-lactam__TEM-176	0	0	0	0	0	0
beta-lactam__TEM-177	0	0	0.000128959795162855	0	0	0
beta-lactam__TEM-178	0	0	0	0	0	0
beta-lactam__TEM-182	0	0	0	0	0	0
beta-lactam__TEM-183	0	0	0	0	0	0
beta-lactam__TEM-184	0	0	0	0	0	0
beta-lactam__TEM-185	0	0	0	0	0	0
beta-lactam__TEM-186	0	0	0	0	0	0
beta-lactam__TEM-187	0	0	0	0	0	0
beta-lactam__TEM-188	0	0	0	0	0	0
beta-lactam__TEM-189	0	0	0	0	0	0
beta-lactam__TEM-19	0	0	0	0	0	0
beta-lactam__TEM-190	0	0	0	0	0	0
beta-lactam__TEM-193	0	0	0	0	0	0
beta-lactam__TEM-194	0	0	0	0	0	0
beta-lactam__TEM-195	0	0	0	0	0	0
beta-lactam__TEM-197	0	0	0	0	0	0
beta-lactam__TEM-198	0	0	0	0	0	0
beta-lactam__TEM-2	0	0	0	0	0	0
beta-lactam__TEM-20	0	0	0	0	0	0
beta-lactam__TEM-201	0	0	0	0	0	0
beta-lactam__TEM-205	0	0	0	0	0	0
beta-lactam__TEM-208	0	0	0	0	0	0
beta-lactam__TEM-209	0	0	0	0	0	0
beta-lactam__TEM-21	0	0	0	0	0	0
beta-lactam__TEM-211	0	0	0	0	0	0
beta-lactam__TEM-213	0	0	0	0	0	0
beta-lactam__TEM-216	0	0	0	0	0	0
beta-lactam__TEM-22	0	0	0	0	0	0
beta-lactam__TEM-28	0	0	0	0	0	0
beta-lactam__TEM-29	0	0	0	0	0	0
beta-lactam__TEM-3	0	0	0	0	0	0
beta-lactam__TEM-30	0	0	0	0	0	0
beta-lactam__TEM-33	0	0	0	0	0	0
beta-lactam__TEM-34	0	0	0	0	0	0
beta-lactam__TEM-40	0	0	0	0	0	0
beta-lactam__TEM-43	0	0	0	0	0	0
beta-lactam__TEM-45	0	0	0	0	0	0
beta-lactam__TEM-47	0	0	0	0	0	0
beta-lactam__TEM-48	0	0	0	0	0	0
beta-lactam__TEM-49	0	0	0	0	0	0
beta-lactam__TEM-52	0	0	0	0	0	0
beta-lactam__TEM-53	0	0	0	0	0	0
beta-lactam__TEM-54	0	0	0	0	0	0
beta-lactam__TEM-55	0	0	0	0	0	0
beta-lactam__TEM-57	0	0	0	0	0	0
beta-lactam__TEM-6	0	0	0	0	0	0
beta-lactam__TEM-60	0	0	0	0	0	0
beta-lactam__TEM-63	0	0	0	0	0	0
beta-lactam__TEM-67	0	0	0	0	0	0
beta-lactam__TEM-68	0	0	0	0	0	0
beta-lactam__TEM-70	0	0	0	0	0	0
beta-lactam__TEM-72	0	0	0	0	0	0
beta-lactam__TEM-75	0	0	0	0	0	0
beta-lactam__TEM-76	0	0	0	0	0	0
beta-lactam__TEM-77	0	0	0	0	0	0
beta-lactam__TEM-78	0	0	0	0	0	0
beta-lactam__TEM-79	0	0	0	0	0	0
beta-lactam__TEM-80	0	0	0	0	0	0
beta-lactam__TEM-81	0	0	0	0	0	0
beta-lactam__TEM-82	0	0	0	0	0	0
beta-lactam__TEM-83	0	0	0	0	0	0
beta-lactam__TEM-84	0	0	0	0	0	0
beta-lactam__TEM-85	0	0	0	0	0	0
beta-lactam__TEM-86	0	0	0	0	0	0
beta-lactam__TEM-87	0	0	0	0	0	0
beta-lactam__TEM-88	0	0	0	0	0	0
beta-lactam__TEM-89	0	0	0	0	0	0
beta-lactam__TEM-90	0	0	0	0	0	0
beta-lactam__TEM-91	0	0	0	0	0	0
beta-lactam__TEM-92	0	0	0	0	0	0
beta-lactam__TEM-93	0	0	0	0	0	0
beta-lactam__TEM-94	0	0	0	0	0	0
beta-lactam__TEM-95	0	0	0	0	0	0
beta-lactam__TEM-96	0	0	0	0	0	0
beta-lactam__THIN-B	0	0	0	0	0	0
beta-lactam__TUS-1	0	0	0	0	0	0
beta-lactam__Toho-1	0	0	0	0	0	0
beta-lactam__VEB-1	0	0	0	0	0	0
beta-lactam__VEB-2	0	0	0	0	0	0
beta-lactam__VEB-3	0	0	0	0	0	0
beta-lactam__VEB-4	0	0	0	0	0	0
beta-lactam__VEB-5	0	0	0	0	0	0
beta-lactam__VEB-6	0	0	0	0	0	0
beta-lactam__VEB-7	0	0	0	0	0	0
beta-lactam__VEB-8	0	0	0	0	0	0
beta-lactam__VIM-1	0	0	0	0	0	0
beta-lactam__VIM-10	0	0	0	0	0	0
beta-lactam__VIM-12	0	0	0	0	0	0
beta-lactam__VIM-13	0	0	0	0	0	0
beta-lactam__VIM-14	0	0	0	0	0	0
beta-lactam__VIM-15	0	0	0	0	0	0
beta-lactam__VIM-16	0	0	0	0	0	0
beta-lactam__VIM-18	0	0	0	0	0	0
beta-lactam__VIM-2	0	0	0	0	0	0
beta-lactam__VIM-23	0	0	0	0	0	0
beta-lactam__VIM-24	0	0	0	0	0	0
beta-lactam__VIM-25	0	0	0	0	0	0
beta-lactam__VIM-26	0	0	0	0	0	0
beta-lactam__VIM-28	0	0	0	0	0	0
beta-lactam__VIM-30	0	0	0	0	0	0
beta-lactam__VIM-33	0	0	0	0	0	0
beta-lactam__VIM-34	0	0	0	0	0	0
beta-lactam__VIM-4	0	0	0	0	0	0
beta-lactam__VIM-7	0	0	0	0	0	0
beta-lactam__VIM-8	0	0	0	0	0	0
beta-lactam__VIM-9	0	0	0	0	0	0
beta-lactam__ampC	0.000170126761020974	0	0	0	0	0
beta-lactam__blaB	0	0	0	0	0	0
beta-lactam__blaI	0	0	0	0	0	0
beta-lactam__blaR1	0	0	0	0	0	0
beta-lactam__blaZ	0	0	0	0	0	0
beta-lactam__ccrA	0	0	0	0	0	0
beta-lactam__cephalosporinase DHA-2	0	0	0	0	0	0
beta-lactam__class A beta-lactamase	0.00124340094470686	0.000230491590919919	0.000197180218446007	0	0	0
beta-lactam__class B beta-lactamase	0	0	0	0.000106111995276921	0	0
beta-lactam__class C beta-lactamase	0	0.000344420010874756	0	0	0	0
beta-lactam__class D beta-lactamase	0	0	0	0	0	0
beta-lactam__fmtC	0	0	0	0	0	0
beta-lactam__mecA	0	0	0	0	0	0
beta-lactam__mecC	0	0	0	0	0	0
beta-lactam__mecI	0	0	0	0	0	0
beta-lactam__mecR1	0	0	0	0	0	0
beta-lactam__metallo-beta-lactamase	0	0.000475540545476886	0	0.000106531410278016	0	0.000131895818174218
beta-lactam__penA	0	0	0	0	0	0
beta-lactam__vim-48	0	0	0	0	0	0
bleomycin__bleO	0	0	0	0	0	0
bleomycin__bleomycin resistance protein	0	0	0	0	0	0
carbomycin__carA	0	0	0	0	0	0
chloramphenicol__catA	0.000283316396790797	0	0	0	0	0
chloramphenicol__catB	0	0	0	0	0.000223392223392224	0
chloramphenicol__catD	0	0	0	0	0	0
chloramphenicol__catP	0	0	0	0	0	0
chloramphenicol__catQ	0	0	0	0	0	0
chloramphenicol__catS	0	0	0	0	0	0
chloramphenicol__cat_chloramphenicol acetyltransferase	0	0	0	0	0	0
chloramphenicol__chloramphenicol and florfenicol exporter	0	0	0	0	0	0
chloramphenicol__chloramphenicol and florfenicol resistance gene	0	0	0	0	0	0
chloramphenicol__chloramphenicol exporter	0	0.000335467959061664	0	0	0	0
chloramphenicol__cmlA	0	0	0.00018914103290552	0	0	0
chloramphenicol__cmrA	0	0	0	0	0	0
chloramphenicol__floR	0	0	0.000365173281352242	0	0	0
fosfomycin__fosA	0	0	0	0	0	0
fosfomycin__fosB	0	0	0	0	0	0
fosfomycin__fosC	0	0	0	0	0	0
fosfomycin__fosX	0	0.000346465254561731	0	0	0	0
fosmidomycin__rosA	0.000347626122742198	0.000229607362614352	8.94674539312992e-05	0.000574810420714168	7.71584982111299e-05	0
fosmidomycin__rosB	0.000509332792894534	0.00178837056877307	0.000579032834956934	0.000744795886081128	5.41963573386864e-05	9.84749861242178e-05
fusaric-acid__fusB	0	0	0	0	0	0
fusidic-acid__fusH	0	0	0	0	0	0
kasugamycin__kasugamycin resistance protein ksgA	0.000391086792865064	0	0	0.000641384179675734	0.000525249701720291	0.000100962798733904
macrolide-lincosamide-streptogramin__ereA	8.16683707525032e-05	0	0	0	0	0.00501125457493254
macrolide-lincosamide-streptogramin__ereB	0.000310207268305546	0	0	0	0	0
macrolide-lincosamide-streptogramin__erm(31)	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__erm(33)	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__erm(34)	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__erm(35)	0	0	0	0	0	7.25338001430416e-05
macrolide-lincosamide-streptogramin__erm(36)	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__erm(38)	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__erm(39)	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__erm(41)	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__erm(TR)	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__ermA	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__ermB	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__ermC	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__ermE	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__ermF	0.000179498482243397	0	0	9.71892741764527e-05	0	0.000103619714490059
macrolide-lincosamide-streptogramin__ermG	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__ermH	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__ermN	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__ermO	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__ermS	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__ermT	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__ermX	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__lmrA	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__lmrB	0	0.000142362453215244	0	0	0	0
macrolide-lincosamide-streptogramin__lmrP	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__lnuA	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__lnuB	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__lsa	0.000123885567610508	0.000680399932903361	0	8.27310877395474e-05	0	0
macrolide-lincosamide-streptogramin__macA	0.000500817066474752	0	0	0	0	9.50955266565376e-05
macrolide-lincosamide-streptogramin__macB	0.00183337278763717	0.00520016805683408	0.00187740004627127	0.00286738043780655	0.000384898453670788	0.00124963752748121
macrolide-lincosamide-streptogramin__mefA	0	0	0.000269560998007571	0	0	0
macrolide-lincosamide-streptogramin__mgtA	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__mphA	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__mphB	0	0.00022663721648982	0	0	0	0
macrolide-lincosamide-streptogramin__mphC	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__msrA	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__msrC	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__oleB	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__oleD	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__srmB	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__tlcC	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__vatA	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__vatB	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__vatC	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__vatD	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__vatE	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__vatG	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__vgaA	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__vgaB	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__vgaD	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__vgaE	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__vgbA	0	0	0	0	0	0
macrolide-lincosamide-streptogramin__vgbB	0	0	0	0	0	0
multidrug__EmrB-QacA family major facilitator transporter	0.000554017611868093	0.000510840285968054	0.000215620777512293	0.00044003994776062	0	0
multidrug__TolC	0.000270196385566284	0	0.000113714811669769	0	0.000398707605101796	0.000219160950695892
multidrug__abeS	0	0	0	0	0	0
multidrug__acrA	0.000187288545172304	0.00016643919091691	0	0.000358228483470027	0	6.94278187767149e-05
multidrug__acrB	0.00121623971300933	0.00158873503070441	0.000592370870818014	0.00150565045193038	0.000165434919151325	0.00048259227177261
multidrug__acrF	4.73676550364519e-05	0	0	2.60158752899015e-05	0	0
multidrug__adeA	0.000126313746763872	0	0	0	0	0
multidrug__adeB	0.000115655002158383	0.00032150821231233	0	0	0	0
multidrug__adeC	0.000135364061609324	0	7.60463946733534e-05	0	0	0
multidrug__adeJ	0.000186157570549685	0.000163967099234374	0	2.59947984263126e-05	0	5.15826382113653e-05
